,class
198,GALAXY
199,STAR
200,STAR
201,STAR
202,GALAXY
203,QSO
204,STAR
205,QSO
206,GALAXY
207,GALAXY
208,GALAXY
209,STAR
210,STAR
211,QSO
212,GALAXY
213,QSO
214,STAR
215,QSO
216,QSO
217,STAR
218,STAR
219,STAR
220,GALAXY
221,STAR
222,STAR
223,GALAXY
224,GALAXY
225,GALAXY
226,GALAXY
227,STAR
228,STAR
229,GALAXY
230,STAR
231,QSO
232,GALAXY
233,STAR
234,STAR
235,STAR
236,STAR
237,GALAXY
238,STAR
239,STAR
240,GALAXY
241,GALAXY
242,STAR
243,GALAXY
244,QSO
245,GALAXY
246,QSO
247,STAR
248,GALAXY
249,STAR
250,STAR
251,STAR
252,STAR
253,GALAXY
254,GALAXY
255,STAR
256,STAR
257,GALAXY
258,STAR
259,GALAXY
260,GALAXY
261,QSO
262,GALAXY
263,GALAXY
264,STAR
265,GALAXY
266,STAR
267,STAR
268,STAR
269,GALAXY
270,STAR
271,QSO
272,STAR
273,GALAXY
274,STAR
275,GALAXY
276,STAR
277,GALAXY
278,GALAXY
279,GALAXY
280,STAR
281,STAR
282,GALAXY
283,GALAXY
284,STAR
285,GALAXY
286,STAR
287,STAR
288,STAR
289,STAR
290,STAR
291,STAR
292,STAR
293,GALAXY
294,GALAXY
295,GALAXY
296,QSO
297,STAR
298,STAR
299,GALAXY
300,QSO
301,STAR
302,STAR
303,STAR
304,GALAXY
305,STAR
306,GALAXY
307,GALAXY
308,STAR
309,GALAXY
310,GALAXY
311,STAR
312,STAR
313,QSO
314,STAR
315,STAR
316,GALAXY
317,STAR
318,STAR
319,GALAXY
320,GALAXY
321,GALAXY
322,STAR
323,STAR
324,GALAXY
325,GALAXY
326,GALAXY
327,GALAXY
328,STAR
329,GALAXY
330,QSO
331,STAR
332,STAR
333,STAR
334,STAR
335,STAR
336,GALAXY
337,QSO
338,STAR
339,STAR
340,GALAXY
341,GALAXY
342,STAR
343,STAR
344,GALAXY
345,QSO
346,STAR
347,STAR
348,QSO
349,STAR
350,GALAXY
351,STAR
352,STAR
353,STAR
354,STAR
355,GALAXY
356,STAR
357,STAR
358,GALAXY
359,STAR
360,STAR
361,STAR
362,GALAXY
363,GALAXY
364,STAR
365,GALAXY
366,GALAXY
367,GALAXY
368,QSO
369,GALAXY
370,GALAXY
371,QSO
372,GALAXY
373,STAR
374,STAR
375,STAR
376,QSO
377,STAR
378,GALAXY
379,GALAXY
380,GALAXY
381,GALAXY
382,GALAXY
383,STAR
384,QSO
385,GALAXY
386,GALAXY
387,STAR
388,STAR
389,GALAXY
390,GALAXY
391,STAR
392,STAR
393,STAR
394,GALAXY
395,GALAXY
396,GALAXY
397,STAR
398,STAR
399,STAR
400,STAR
401,QSO
402,GALAXY
403,GALAXY
404,STAR
405,QSO
406,STAR
407,GALAXY
408,GALAXY
409,GALAXY
410,GALAXY
411,GALAXY
412,STAR
413,STAR
414,QSO
415,STAR
416,GALAXY
417,STAR
418,GALAXY
419,GALAXY
420,GALAXY
421,STAR
422,GALAXY
423,GALAXY
424,STAR
425,STAR
426,GALAXY
427,QSO
428,GALAXY
429,STAR
430,QSO
431,QSO
432,GALAXY
433,GALAXY
434,STAR
435,STAR
436,STAR
437,GALAXY
438,GALAXY
439,STAR
440,QSO
441,STAR
442,GALAXY
443,STAR
444,GALAXY
445,GALAXY
446,GALAXY
447,QSO
448,GALAXY
449,STAR
450,GALAXY
451,GALAXY
452,GALAXY
453,GALAXY
454,STAR
455,QSO
456,STAR
457,STAR
458,GALAXY
459,GALAXY
460,STAR
461,STAR
462,GALAXY
463,GALAXY
464,GALAXY
465,STAR
466,STAR
467,QSO
468,QSO
469,STAR
470,STAR
471,GALAXY
472,STAR
473,STAR
474,STAR
475,GALAXY
476,STAR
477,STAR
478,GALAXY
479,STAR
480,GALAXY
481,GALAXY
482,GALAXY
483,STAR
484,STAR
485,GALAXY
486,STAR
487,STAR
488,STAR
489,STAR
490,GALAXY
491,GALAXY
492,GALAXY
493,GALAXY
494,STAR
495,GALAXY
496,GALAXY
497,GALAXY
498,GALAXY
499,QSO
500,GALAXY
501,GALAXY
502,QSO
503,QSO
504,STAR
505,GALAXY
506,STAR
507,STAR
508,STAR
509,STAR
510,GALAXY
511,GALAXY
512,STAR
513,STAR
514,GALAXY
515,GALAXY
516,STAR
517,GALAXY
518,STAR
519,STAR
520,GALAXY
521,GALAXY
522,GALAXY
523,GALAXY
524,GALAXY
525,GALAXY
526,QSO
527,QSO
528,STAR
529,STAR
530,STAR
531,QSO
532,STAR
533,STAR
534,GALAXY
535,GALAXY
536,GALAXY
537,STAR
538,GALAXY
539,GALAXY
540,STAR
541,STAR
542,GALAXY
543,GALAXY
544,GALAXY
545,STAR
546,GALAXY
547,STAR
548,GALAXY
549,GALAXY
550,STAR
551,GALAXY
552,STAR
553,GALAXY
554,STAR
555,QSO
556,STAR
557,GALAXY
558,QSO
559,GALAXY
560,GALAXY
561,QSO
562,STAR
563,GALAXY
564,GALAXY
565,QSO
566,GALAXY
567,GALAXY
568,GALAXY
569,GALAXY
570,STAR
571,GALAXY
572,QSO
573,QSO
574,STAR
575,STAR
576,QSO
577,STAR
578,GALAXY
579,GALAXY
580,GALAXY
581,STAR
582,GALAXY
583,STAR
584,STAR
585,GALAXY
586,GALAXY
587,STAR
588,QSO
589,STAR
590,STAR
591,STAR
592,STAR
593,STAR
594,STAR
595,STAR
596,GALAXY
597,GALAXY
598,QSO
599,STAR
600,GALAXY
601,STAR
602,STAR
603,STAR
604,GALAXY
605,GALAXY
606,STAR
607,GALAXY
608,GALAXY
609,GALAXY
610,GALAXY
611,GALAXY
612,STAR
613,GALAXY
614,STAR
615,STAR
616,QSO
617,GALAXY
618,STAR
619,STAR
620,STAR
621,GALAXY
622,GALAXY
623,GALAXY
624,STAR
625,GALAXY
626,GALAXY
627,GALAXY
628,STAR
629,GALAXY
630,GALAXY
631,GALAXY
632,STAR
633,GALAXY
634,STAR
635,STAR
636,GALAXY
637,STAR
638,QSO
639,GALAXY
640,GALAXY
641,STAR
642,STAR
643,QSO
644,STAR
645,GALAXY
646,GALAXY
647,STAR
648,STAR
649,STAR
650,GALAXY
651,GALAXY
652,GALAXY
653,GALAXY
654,QSO
655,QSO
656,GALAXY
657,GALAXY
658,STAR
659,QSO
660,STAR
661,QSO
662,GALAXY
663,GALAXY
664,STAR
665,QSO
666,STAR
667,GALAXY
668,GALAXY
669,GALAXY
670,GALAXY
671,GALAXY
672,QSO
673,STAR
674,STAR
675,STAR
676,STAR
677,STAR
678,QSO
679,GALAXY
680,QSO
681,STAR
682,GALAXY
683,QSO
684,STAR
685,GALAXY
686,GALAXY
687,GALAXY
688,GALAXY
689,GALAXY
690,GALAXY
691,GALAXY
692,STAR
693,GALAXY
694,GALAXY
695,GALAXY
696,STAR
697,QSO
698,GALAXY
699,STAR
700,STAR
701,STAR
702,GALAXY
703,GALAXY
704,QSO
705,QSO
706,STAR
707,GALAXY
708,STAR
709,QSO
710,STAR
711,GALAXY
712,STAR
713,GALAXY
714,STAR
715,STAR
716,GALAXY
717,GALAXY
718,QSO
719,STAR
720,STAR
721,QSO
722,STAR
723,STAR
724,STAR
725,STAR
726,QSO
727,GALAXY
728,GALAXY
729,GALAXY
730,GALAXY
731,QSO
732,GALAXY
733,QSO
734,STAR
735,STAR
736,STAR
737,QSO
738,GALAXY
739,STAR
740,STAR
741,QSO
742,STAR
743,STAR
744,QSO
745,GALAXY
746,GALAXY
747,STAR
748,GALAXY
749,GALAXY
750,STAR
751,STAR
752,STAR
753,STAR
754,STAR
755,QSO
756,STAR
757,GALAXY
758,QSO
759,GALAXY
760,QSO
761,GALAXY
762,GALAXY
763,GALAXY
764,GALAXY
765,GALAXY
766,GALAXY
767,GALAXY
768,STAR
769,STAR
770,STAR
771,STAR
772,GALAXY
773,GALAXY
774,STAR
775,STAR
776,STAR
777,STAR
778,STAR
779,STAR
780,STAR
781,GALAXY
782,GALAXY
783,GALAXY
784,GALAXY
785,STAR
786,STAR
787,GALAXY
788,GALAXY
789,GALAXY
790,GALAXY
791,GALAXY
792,QSO
793,STAR
794,GALAXY
795,GALAXY
796,GALAXY
797,GALAXY
798,STAR
799,STAR
800,GALAXY
801,GALAXY
802,QSO
803,STAR
804,GALAXY
805,STAR
806,GALAXY
807,STAR
808,GALAXY
809,QSO
810,GALAXY
811,STAR
812,STAR
813,STAR
814,QSO
815,STAR
816,GALAXY
817,GALAXY
818,GALAXY
819,GALAXY
820,GALAXY
821,QSO
822,GALAXY
823,STAR
824,STAR
825,GALAXY
826,STAR
827,QSO
828,STAR
829,GALAXY
830,STAR
831,GALAXY
832,GALAXY
833,GALAXY
834,GALAXY
835,STAR
836,GALAXY
837,STAR
838,STAR
839,GALAXY
840,GALAXY
841,GALAXY
842,QSO
843,STAR
844,GALAXY
845,GALAXY
846,STAR
847,GALAXY
848,GALAXY
849,QSO
850,STAR
851,STAR
852,STAR
853,GALAXY
854,QSO
855,GALAXY
856,QSO
857,GALAXY
858,GALAXY
859,STAR
860,STAR
861,GALAXY
862,STAR
863,STAR
864,GALAXY
865,GALAXY
866,STAR
867,GALAXY
868,GALAXY
869,STAR
870,STAR
871,STAR
872,GALAXY
873,GALAXY
874,GALAXY
875,STAR
876,GALAXY
877,STAR
878,STAR
879,GALAXY
880,STAR
881,GALAXY
882,STAR
883,STAR
884,STAR
885,GALAXY
886,GALAXY
887,STAR
888,STAR
889,GALAXY
890,GALAXY
891,GALAXY
892,GALAXY
893,GALAXY
894,GALAXY
895,GALAXY
896,GALAXY
897,STAR
898,GALAXY
899,STAR
900,STAR
901,STAR
902,GALAXY
903,GALAXY
904,STAR
905,STAR
906,STAR
907,STAR
908,GALAXY
909,STAR
910,QSO
911,QSO
912,STAR
913,STAR
914,STAR
915,GALAXY
916,GALAXY
917,STAR
918,STAR
919,GALAXY
920,GALAXY
921,GALAXY
922,STAR
923,GALAXY
924,GALAXY
925,QSO
926,GALAXY
927,GALAXY
928,GALAXY
929,GALAXY
930,GALAXY
931,GALAXY
932,GALAXY
933,QSO
934,GALAXY
935,GALAXY
936,GALAXY
937,GALAXY
938,GALAXY
939,STAR
940,STAR
941,QSO
942,GALAXY
943,GALAXY
944,GALAXY
945,GALAXY
946,STAR
947,GALAXY
948,GALAXY
949,GALAXY
950,STAR
951,STAR
952,STAR
953,GALAXY
954,STAR
955,STAR
956,GALAXY
957,STAR
958,STAR
959,GALAXY
960,STAR
961,GALAXY
962,STAR
963,GALAXY
964,GALAXY
965,STAR
966,GALAXY
967,STAR
968,STAR
969,GALAXY
970,GALAXY
971,GALAXY
972,STAR
973,STAR
974,GALAXY
975,QSO
976,GALAXY
977,STAR
978,GALAXY
979,STAR
980,STAR
981,GALAXY
982,STAR
983,GALAXY
984,GALAXY
985,GALAXY
986,GALAXY
987,STAR
988,STAR
989,GALAXY
990,GALAXY
991,GALAXY
992,GALAXY
993,GALAXY
994,STAR
995,GALAXY
996,STAR
997,STAR
998,GALAXY
999,STAR
1000,GALAXY
1001,QSO
1002,GALAXY
1003,STAR
1004,GALAXY
1005,STAR
1006,STAR
1007,STAR
1008,STAR
1009,QSO
1010,GALAXY
1011,GALAXY
1012,GALAXY
1013,STAR
1014,STAR
1015,STAR
1016,GALAXY
1017,GALAXY
1018,STAR
1019,GALAXY
1020,GALAXY
1021,STAR
1022,STAR
1023,STAR
1024,STAR
1025,STAR
1026,QSO
1027,STAR
1028,STAR
1029,STAR
1030,QSO
1031,STAR
1032,GALAXY
1033,GALAXY
1034,GALAXY
1035,GALAXY
1036,STAR
1037,QSO
1038,STAR
1039,STAR
1040,QSO
1041,QSO
1042,STAR
1043,STAR
1044,GALAXY
1045,GALAXY
1046,GALAXY
1047,GALAXY
1048,GALAXY
1049,STAR
1050,STAR
1051,STAR
1052,STAR
1053,STAR
1054,GALAXY
1055,QSO
1056,STAR
1057,GALAXY
1058,GALAXY
1059,QSO
1060,STAR
1061,STAR
1062,QSO
1063,QSO
1064,GALAXY
1065,STAR
1066,GALAXY
1067,QSO
1068,GALAXY
1069,GALAXY
1070,STAR
1071,STAR
1072,QSO
1073,GALAXY
1074,STAR
1075,STAR
1076,GALAXY
1077,GALAXY
1078,GALAXY
1079,STAR
1080,QSO
1081,STAR
1082,QSO
1083,GALAXY
1084,QSO
1085,STAR
1086,GALAXY
1087,STAR
1088,STAR
1089,GALAXY
1090,STAR
1091,STAR
1092,GALAXY
1093,GALAXY
1094,GALAXY
1095,GALAXY
1096,GALAXY
1097,GALAXY
1098,GALAXY
1099,STAR
1100,STAR
1101,QSO
1102,STAR
1103,GALAXY
1104,STAR
1105,STAR
1106,GALAXY
1107,GALAXY
1108,STAR
1109,QSO
1110,GALAXY
1111,GALAXY
1112,STAR
1113,GALAXY
1114,QSO
1115,GALAXY
1116,GALAXY
1117,STAR
1118,STAR
1119,QSO
1120,GALAXY
1121,STAR
1122,STAR
1123,GALAXY
1124,STAR
1125,STAR
1126,GALAXY
1127,STAR
1128,STAR
1129,GALAXY
1130,GALAXY
1131,GALAXY
1132,GALAXY
1133,GALAXY
1134,GALAXY
1135,GALAXY
1136,GALAXY
1137,GALAXY
1138,GALAXY
1139,GALAXY
1140,STAR
1141,STAR
1142,GALAXY
1143,GALAXY
1144,STAR
1145,GALAXY
1146,GALAXY
1147,QSO
1148,GALAXY
1149,GALAXY
1150,GALAXY
1151,STAR
1152,QSO
1153,GALAXY
1154,GALAXY
1155,GALAXY
1156,GALAXY
1157,GALAXY
1158,QSO
1159,STAR
1160,GALAXY
1161,GALAXY
1162,QSO
1163,GALAXY
1164,GALAXY
1165,QSO
1166,STAR
1167,STAR
1168,GALAXY
1169,STAR
1170,STAR
1171,STAR
1172,GALAXY
1173,STAR
1174,STAR
1175,STAR
1176,GALAXY
1177,STAR
1178,GALAXY
1179,GALAXY
1180,GALAXY
1181,STAR
1182,STAR
1183,STAR
1184,QSO
1185,STAR
1186,STAR
1187,GALAXY
1188,QSO
1189,STAR
1190,GALAXY
1191,QSO
1192,STAR
1193,GALAXY
1194,GALAXY
1195,STAR
1196,GALAXY
1197,STAR
1198,STAR
1199,GALAXY
1200,GALAXY
1201,GALAXY
1202,STAR
1203,STAR
1204,GALAXY
1205,QSO
1206,GALAXY
1207,STAR
1208,GALAXY
1209,STAR
1210,STAR
1211,STAR
1212,GALAXY
1213,GALAXY
1214,STAR
1215,GALAXY
1216,GALAXY
1217,GALAXY
1218,QSO
1219,STAR
1220,STAR
1221,GALAXY
1222,GALAXY
1223,GALAXY
1224,STAR
1225,STAR
1226,STAR
1227,STAR
1228,GALAXY
1229,GALAXY
1230,GALAXY
1231,GALAXY
1232,GALAXY
1233,STAR
1234,QSO
1235,STAR
1236,STAR
1237,GALAXY
1238,QSO
1239,GALAXY
1240,GALAXY
1241,GALAXY
1242,GALAXY
1243,STAR
1244,STAR
1245,QSO
1246,QSO
1247,STAR
1248,QSO
1249,STAR
1250,STAR
1251,STAR
1252,STAR
1253,GALAXY
1254,GALAXY
1255,GALAXY
1256,STAR
1257,QSO
1258,STAR
1259,GALAXY
1260,GALAXY
1261,GALAXY
1262,GALAXY
1263,STAR
1264,STAR
1265,GALAXY
1266,STAR
1267,QSO
1268,GALAXY
1269,GALAXY
1270,GALAXY
1271,STAR
1272,STAR
1273,GALAXY
1274,GALAXY
1275,STAR
1276,GALAXY
1277,GALAXY
1278,QSO
1279,GALAXY
1280,GALAXY
1281,STAR
1282,GALAXY
1283,GALAXY
1284,STAR
1285,GALAXY
1286,GALAXY
1287,STAR
1288,STAR
1289,GALAXY
1290,STAR
1291,GALAXY
1292,STAR
1293,STAR
1294,QSO
1295,STAR
1296,GALAXY
1297,GALAXY
1298,STAR
1299,STAR
1300,STAR
1301,STAR
1302,GALAXY
1303,STAR
1304,GALAXY
1305,QSO
1306,QSO
1307,STAR
1308,GALAXY
1309,QSO
1310,GALAXY
1311,GALAXY
1312,STAR
1313,STAR
1314,GALAXY
1315,QSO
1316,GALAXY
1317,STAR
1318,QSO
1319,STAR
1320,QSO
1321,GALAXY
1322,STAR
1323,QSO
1324,GALAXY
1325,GALAXY
1326,GALAXY
1327,GALAXY
1328,GALAXY
1329,GALAXY
1330,GALAXY
1331,GALAXY
1332,STAR
1333,STAR
1334,GALAXY
1335,STAR
1336,QSO
1337,GALAXY
1338,STAR
1339,GALAXY
1340,GALAXY
1341,GALAXY
1342,GALAXY
1343,GALAXY
1344,GALAXY
1345,GALAXY
1346,GALAXY
1347,GALAXY
1348,STAR
1349,STAR
1350,STAR
1351,STAR
1352,GALAXY
1353,STAR
1354,STAR
1355,QSO
1356,STAR
1357,GALAXY
1358,GALAXY
1359,QSO
1360,STAR
1361,QSO
1362,STAR
1363,STAR
1364,STAR
1365,QSO
1366,STAR
1367,GALAXY
1368,QSO
1369,STAR
1370,STAR
1371,STAR
1372,GALAXY
1373,GALAXY
1374,GALAXY
1375,GALAXY
1376,GALAXY
1377,GALAXY
1378,STAR
1379,STAR
1380,GALAXY
1381,GALAXY
1382,GALAXY
1383,QSO
1384,GALAXY
1385,GALAXY
1386,GALAXY
1387,GALAXY
1388,STAR
1389,STAR
1390,GALAXY
1391,STAR
1392,QSO
1393,GALAXY
1394,STAR
1395,QSO
1396,QSO
1397,STAR
1398,STAR
1399,GALAXY
1400,STAR
1401,STAR
1402,STAR
1403,GALAXY
1404,GALAXY
1405,STAR
1406,GALAXY
1407,STAR
1408,STAR
1409,STAR
1410,STAR
1411,STAR
1412,GALAXY
1413,STAR
1414,QSO
1415,GALAXY
1416,GALAXY
1417,GALAXY
1418,GALAXY
1419,STAR
1420,GALAXY
1421,GALAXY
1422,GALAXY
1423,GALAXY
1424,GALAXY
1425,GALAXY
1426,STAR
1427,QSO
1428,STAR
1429,STAR
1430,GALAXY
1431,STAR
1432,GALAXY
1433,STAR
1434,STAR
1435,QSO
1436,STAR
1437,GALAXY
1438,GALAXY
1439,QSO
1440,GALAXY
1441,GALAXY
1442,STAR
1443,STAR
1444,GALAXY
1445,STAR
1446,STAR
1447,STAR
1448,GALAXY
1449,GALAXY
1450,STAR
1451,STAR
1452,STAR
1453,STAR
1454,QSO
1455,GALAXY
1456,STAR
1457,STAR
1458,STAR
1459,STAR
1460,GALAXY
1461,GALAXY
1462,GALAXY
1463,STAR
1464,GALAXY
1465,QSO
1466,STAR
1467,STAR
1468,STAR
1469,GALAXY
1470,QSO
1471,GALAXY
1472,GALAXY
1473,QSO
1474,STAR
1475,STAR
1476,STAR
1477,QSO
1478,STAR
1479,STAR
1480,GALAXY
1481,GALAXY
1482,GALAXY
1483,QSO
1484,STAR
1485,GALAXY
1486,GALAXY
1487,GALAXY
1488,GALAXY
1489,STAR
1490,GALAXY
1491,STAR
1492,STAR
1493,STAR
1494,GALAXY
1495,STAR
1496,STAR
1497,STAR
1498,STAR
1499,QSO
1500,GALAXY
1501,STAR
1502,STAR
1503,STAR
1504,STAR
1505,STAR
1506,GALAXY
1507,STAR
1508,STAR
1509,GALAXY
1510,GALAXY
1511,GALAXY
1512,STAR
1513,STAR
1514,STAR
1515,GALAXY
1516,GALAXY
1517,GALAXY
1518,STAR
1519,STAR
1520,GALAXY
1521,STAR
1522,GALAXY
1523,STAR
1524,STAR
1525,QSO
1526,GALAXY
1527,GALAXY
1528,STAR
1529,STAR
1530,GALAXY
1531,QSO
1532,GALAXY
1533,GALAXY
1534,STAR
1535,STAR
1536,GALAXY
1537,QSO
1538,STAR
1539,QSO
1540,GALAXY
1541,QSO
1542,GALAXY
1543,STAR
1544,GALAXY
1545,STAR
1546,GALAXY
1547,GALAXY
1548,GALAXY
1549,STAR
1550,GALAXY
1551,GALAXY
1552,GALAXY
1553,STAR
1554,STAR
1555,GALAXY
1556,STAR
1557,STAR
1558,QSO
1559,STAR
1560,STAR
1561,STAR
1562,STAR
1563,GALAXY
1564,GALAXY
1565,GALAXY
1566,STAR
1567,STAR
1568,STAR
1569,QSO
1570,GALAXY
1571,STAR
1572,GALAXY
1573,GALAXY
1574,STAR
1575,STAR
1576,STAR
1577,STAR
1578,STAR
1579,STAR
1580,GALAXY
1581,STAR
1582,STAR
1583,STAR
1584,STAR
1585,GALAXY
1586,STAR
1587,GALAXY
1588,STAR
1589,STAR
1590,GALAXY
1591,GALAXY
1592,GALAXY
1593,QSO
1594,STAR
1595,GALAXY
1596,QSO
1597,STAR
1598,STAR
1599,STAR
1600,GALAXY
1601,STAR
1602,GALAXY
1603,GALAXY
1604,STAR
1605,GALAXY
1606,GALAXY
1607,QSO
1608,STAR
1609,STAR
1610,STAR
1611,STAR
1612,STAR
1613,GALAXY
1614,STAR
1615,GALAXY
1616,GALAXY
1617,GALAXY
1618,GALAXY
1619,GALAXY
1620,GALAXY
1621,STAR
1622,STAR
1623,STAR
1624,GALAXY
1625,STAR
1626,STAR
1627,QSO
1628,GALAXY
1629,GALAXY
1630,QSO
1631,GALAXY
1632,STAR
1633,STAR
1634,GALAXY
1635,STAR
1636,GALAXY
1637,GALAXY
1638,GALAXY
1639,GALAXY
1640,GALAXY
1641,GALAXY
1642,GALAXY
1643,QSO
1644,STAR
1645,GALAXY
1646,GALAXY
1647,STAR
1648,QSO
1649,STAR
1650,QSO
1651,STAR
1652,GALAXY
1653,GALAXY
1654,QSO
1655,STAR
1656,STAR
1657,STAR
1658,GALAXY
1659,GALAXY
1660,QSO
1661,GALAXY
1662,GALAXY
1663,STAR
1664,STAR
1665,STAR
1666,QSO
1667,STAR
1668,QSO
1669,STAR
1670,STAR
1671,STAR
1672,STAR
1673,STAR
1674,GALAXY
1675,STAR
1676,QSO
1677,GALAXY
1678,QSO
1679,STAR
1680,QSO
1681,STAR
1682,STAR
1683,QSO
1684,STAR
1685,GALAXY
1686,STAR
1687,STAR
1688,GALAXY
1689,GALAXY
1690,STAR
1691,STAR
1692,GALAXY
1693,STAR
1694,GALAXY
1695,STAR
1696,STAR
1697,STAR
1698,STAR
1699,QSO
1700,STAR
1701,STAR
1702,STAR
1703,GALAXY
1704,STAR
1705,QSO
1706,STAR
1707,GALAXY
1708,GALAXY
1709,STAR
1710,GALAXY
1711,GALAXY
1712,GALAXY
1713,QSO
1714,GALAXY
1715,STAR
1716,STAR
1717,GALAXY
1718,STAR
1719,GALAXY
1720,GALAXY
1721,GALAXY
1722,GALAXY
1723,STAR
1724,QSO
1725,STAR
1726,GALAXY
1727,GALAXY
1728,STAR
1729,GALAXY
1730,GALAXY
1731,GALAXY
1732,QSO
1733,STAR
1734,STAR
1735,STAR
1736,STAR
1737,GALAXY
1738,STAR
1739,GALAXY
1740,GALAXY
1741,STAR
1742,QSO
1743,GALAXY
1744,GALAXY
1745,STAR
1746,GALAXY
1747,GALAXY
1748,QSO
1749,STAR
1750,GALAXY
1751,STAR
1752,STAR
1753,GALAXY
1754,GALAXY
1755,STAR
1756,STAR
1757,GALAXY
1758,GALAXY
1759,GALAXY
1760,GALAXY
1761,GALAXY
1762,STAR
1763,GALAXY
1764,STAR
1765,GALAXY
1766,STAR
1767,STAR
1768,STAR
1769,QSO
1770,STAR
1771,QSO
1772,STAR
1773,QSO
1774,STAR
1775,GALAXY
1776,GALAXY
1777,STAR
1778,STAR
1779,GALAXY
1780,GALAXY
1781,STAR
1782,GALAXY
1783,STAR
1784,STAR
1785,GALAXY
1786,GALAXY
1787,GALAXY
1788,GALAXY
1789,STAR
1790,STAR
1791,QSO
1792,STAR
1793,QSO
1794,STAR
1795,STAR
1796,STAR
1797,GALAXY
1798,GALAXY
1799,STAR
1800,STAR
1801,GALAXY
1802,GALAXY
1803,STAR
1804,GALAXY
1805,QSO
1806,GALAXY
1807,STAR
1808,STAR
1809,GALAXY
1810,STAR
1811,GALAXY
1812,GALAXY
1813,STAR
1814,STAR
1815,STAR
1816,STAR
1817,GALAXY
1818,GALAXY
1819,STAR
1820,STAR
1821,GALAXY
1822,GALAXY
1823,QSO
1824,STAR
1825,GALAXY
1826,GALAXY
1827,STAR
1828,STAR
1829,GALAXY
1830,GALAXY
1831,STAR
1832,STAR
1833,STAR
1834,STAR
1835,QSO
1836,STAR
1837,GALAXY
1838,GALAXY
1839,STAR
1840,QSO
1841,STAR
1842,STAR
1843,STAR
1844,GALAXY
1845,STAR
1846,GALAXY
1847,QSO
1848,STAR
1849,QSO
1850,GALAXY
1851,STAR
1852,STAR
1853,GALAXY
1854,STAR
1855,QSO
1856,STAR
1857,STAR
1858,STAR
1859,GALAXY
1860,QSO
1861,STAR
1862,STAR
1863,GALAXY
1864,GALAXY
1865,STAR
1866,STAR
1867,QSO
1868,STAR
1869,STAR
1870,QSO
1871,GALAXY
1872,STAR
1873,GALAXY
1874,QSO
1875,GALAXY
1876,GALAXY
1877,STAR
1878,STAR
1879,STAR
1880,GALAXY
1881,GALAXY
1882,STAR
1883,QSO
1884,QSO
1885,GALAXY
1886,GALAXY
1887,GALAXY
1888,QSO
1889,STAR
1890,STAR
1891,GALAXY
1892,GALAXY
1893,QSO
1894,GALAXY
1895,STAR
1896,STAR
1897,STAR
